,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,AMZN,"Amazon.com, Inc.","3,148.02",-13.00,-0.41%,2.752M,4.591M,1.577T,120.91
1,BABA,Alibaba Group Holding Limited,253.97,+0.25,+0.10%,7.789M,18.389M,693.501B,72.63
2,TSLA,"Tesla, Inc.","1,650.71",+29.71,+1.83%,12.578M,13.208M,307.63B,854.40
3,HD,"The Home Depot, Inc.",280.55,-1.11,-0.39%,2.348M,3.948M,301.737B,27.86
4,TM,Toyota Motor Corporation,134.22,-1.42,-1.05%,"110,016","207,879",188.65B,8.21
5,NKE,"NIKE, Inc.",106.43,-0.09,-0.08%,2.843M,6.723M,166.019B,66.52
6,MCD,McDonald's Corporation,207.03,+0.54,+0.26%,1.996M,3.417M,154.052B,32.72
7,LOW,"Lowe's Companies, Inc.",154.34,-1.36,-0.87%,3.304M,4.715M,116.527B,26.00
8,PDD,Pinduoduo Inc.,85.04,-3.81,-4.29%,6.059M,9.182M,101.846B,N/A
9,JD,"JD.com, Inc.",62.06,-0.48,-0.77%,10.27M,13.611M,97.313B,422.18
10,SBUX,Starbucks Corporation,78.37,-0.65,-0.82%,3.771M,9.39M,91.615B,69.60
11,BKNG,Booking Holdings Inc.,"1,778.87",-14.10,-0.79%,"262,553","480,679",72.842B,29.19
12,TJX,"The TJX Companies, Inc.",57.87,+0.76,+1.33%,4.815M,7.899M,69.321B,41.81
13,MELI,"MercadoLibre, Inc.","1,156.44",-0.61,-0.05%,"351,173","502,590",57.487B,N/A
14,LULU,Lululemon Athletica Inc.,349.12,-1.17,-0.33%,"877,284",2.043M,45.458B,79.13
15,HMC,"Honda Motor Co., Ltd.",25.43,-0.16,-0.63%,"509,918","846,655",44.373B,4.39
16,GM,General Motors Company,27.86,+0.31,+1.13%,8.133M,14.641M,39.427B,26.33
17,EBAY,eBay Inc.,56.29,+0.01,+0.02%,6.253M,10.973M,39.396B,8.72
18,LVS,Las Vegas Sands Corp.,48.37,-0.25,-0.51%,4.908M,6.964M,36.945B,108.70
19,RACE,Ferrari N.V.,194.30,-0.02,-0.01%,"226,843","221,985",48.107B,43.32
20,ORLY,"O'Reilly Automotive, Inc.",463.55,+2.21,+0.48%,"338,001","584,671",34.333B,22.75
21,CVNA,Carvana Co.,196.68,+3.25,+1.68%,"882,505",2.086M,33.56B,N/A
22,ROST,"Ross Stores, Inc.",94.06,+0.99,+1.06%,1.839M,3.236M,33.478B,36.02
23,CMG,"Chipotle Mexican Grill, Inc.","1,186.53",-8.40,-0.70%,"158,031","391,634",33.184B,131.49
24,MAR,"Marriott International, Inc.",96.01,-0.49,-0.50%,3.407M,4.662M,31.137B,68.29
25,W,Wayfair Inc.,309.99,-4.30,-1.37%,1.551M,2.456M,29.57B,N/A
26,BBY,"Best Buy Co., Inc.",109.49,+1.59,+1.47%,2.513M,2.683M,28.282B,20.25
27,F,Ford Motor Company,7.04,+0.01,+0.14%,42.95M,83.153M,28.008B,N/A
28,EBAYL,eBay Inc. NT 56,26.01,+0.04,+0.15%,"40,274","47,450",27.883B,N/A
29,AZO,"AutoZone, Inc.","1,196.05",+8.91,+0.75%,"116,281","215,811",27.939B,18.68
30,YUM,"Yum! Brands, Inc.",92.65,-0.12,-0.13%,"758,828",2.281M,27.925B,27.71
31,DHI,"D.R. Horton, Inc.",71.39,-0.09,-0.13%,1.733M,4M,25.965B,12.93
32,VFC,V.F. Corporation,64.24,+0.41,+0.64%,1.505M,2.739M,25.031B,74.01
33,BLL,Ball Corporation,75.50,+0.27,+0.36%,"817,075",1.981M,24.656B,69.14
34,HLT,Hilton Worldwide Holdings Inc.,86.00,+0.50,+0.58%,1.875M,3.44M,23.849B,472.53
35,APTV,Aptiv PLC,88.34,-0.29,-0.33%,"713,596",2.481M,23.854B,13.52
36,FCAU,Fiat Chrysler Automobiles N.V.,11.43,-0.10,-0.87%,1.308M,3.317M,23.132B,4.93
37,LEN-B,Lennar Corporation,57.70,-0.03,-0.05%,"62,905","116,919",22.561B,8.69
38,LEN,Lennar Corporation,74.25,-0.33,-0.44%,1.095M,3.44M,22.561B,11.18
39,CZR,"Caesars Entertainment, Inc.",41.32,+1.86,+4.71%,5.043M,14.416M,87.74B,N/A
40,CHWY,"Chewy, Inc.",53.79,-0.83,-1.52%,2.104M,4.103M,21.6B,N/A
41,YUMC,"Yum China Holdings, Inc.",54.51,+0.06,+0.11%,1.337M,2.197M,20.556B,41.64
42,PTON,"Peloton Interactive, Inc.",64.34,-1.37,-2.08%,4.565M,7.784M,18.223B,N/A
43,ROL,"Rollins, Inc.",54.73,-0.27,-0.49%,"519,026",1.235M,17.938B,84.07
44,AMCR,Amcor plc,11.20,0.00,0.00%,2.951M,10.087M,17.634B,35.78
45,NKLA,Nikola Corporation,45.96,-0.01,-0.02%,12.494M,22.295M,17.418B,N/A
46,TSCO,Tractor Supply Company,148.60,-0.11,-0.07%,"759,952",1.377M,17.271B,25.52
47,KMX,"CarMax, Inc.",104.35,-0.01,-0.01%,"558,094",1.473M,17.017B,27.57
48,TCOM,Trip.com Group Limited,28.54,-0.16,-0.56%,3.297M,5.343M,16.926B,N/A
49,QSR,Restaurant Brands International Inc.,54.42,+0.07,+0.13%,1.216M,2.081M,16.533B,25.73
50,DPZ,"Domino's Pizza, Inc.",398.99,-0.05,-0.01%,"339,014","685,149",15.699B,35.58
51,MGA,Magna International Inc.,52.53,+0.24,+0.46%,"732,276","922,101",15.687B,N/A
