,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,GOOG,Alphabet Inc.,"1,507.73",-10.72,-0.71%,1.355M,1.676M,1.025T,33.14
1,GOOGL,Alphabet Inc.,"1,504.63",-12.02,-0.79%,1.097M,1.788M,1.024T,33.07
2,FB,"Facebook, Inc.",261.24,-0.06,-0.02%,14.793M,26.247M,744.226B,31.94
3,VZ,Verizon Communications Inc.,58.79,+0.27,+0.46%,8.204M,15.609M,243.276B,12.73
4,DIS,The Walt Disney Company,130.53,-0.43,-0.33%,6.101M,14.406M,235.876B,N/A
5,T,AT&T Inc.,30.01,+0.10,+0.33%,21.884M,35.986M,213.821B,18.30
6,NFLX,"Netflix, Inc.",482.68,+1.35,+0.28%,2.943M,7.307M,212.869B,81.51
7,CMCSA,Comcast Corporation,43.77,+0.38,+0.88%,15.238M,19.08M,199.946B,17.58
8,CHL,China Mobile Limited,37.73,0.00,0.00%,"694,025",1.327M,155.848B,8.67
9,TMUS,"T-Mobile US, Inc.",115.49,+0.12,+0.10%,2.028M,7.918M,145.236B,41.31
10,CHTR,"Charter Communications, Inc.",604.99,+0.77,+0.13%,"664,652","990,819",123.962B,57.87
11,ZM,"Zoom Video Communications, Inc.",244.91,-2.34,-0.95%,3.663M,9.05M,69.09B,"1,449.17"
12,NTES,"NetEase, Inc.",461.39,-3.48,-0.75%,"384,184","915,542",64.948B,69.18
13,ATVI,"Activision Blizzard, Inc.",80.40,-0.89,-1.09%,9.39M,7.302M,62.059B,34.34
14,SE,Sea Limited,126.50,-1.50,-1.17%,3.281M,5.354M,59.831B,N/A
15,AMX,"América Móvil, S.A.B. de C.V.",13.02,+0.09,+0.70%,1.372M,2.565M,56.693B,32.55
16,AMOV,"América Móvil, S.A.B. de C.V.",12.90,-0.01,-0.08%,"1,590","4,460",56.17B,32.25
17,SPOT,Spotify Technology S.A.,251.32,-2.34,-0.92%,"953,634",3.072M,47.081B,N/A
18,RELX,RELX PLC,22.51,-0.55,-2.39%,"467,860",1.022M,44.524B,20.69
19,VOD,Vodafone Group Plc,15.59,-0.26,-1.64%,2.366M,3.438M,41.381B,N/A
20,EA,Electronic Arts Inc.,140.43,-1.34,-0.95%,1.904M,2.555M,40.556B,20.76
21,BIDU,"Baidu, Inc.",116.74,-7.83,-6.29%,11.662M,4.299M,40.236B,9.10
22,BCE,BCE Inc.,42.80,-0.11,-0.26%,"737,060",1.12M,38.617B,18.66
23,TWLO,Twilio Inc.,240.06,-3.93,-1.61%,1.451M,3.456M,34.361B,N/A
24,SNAP,Snap Inc.,21.69,-0.21,-0.96%,9.228M,27.699M,31.867B,N/A
25,ORAN,Orange S.A.,11.63,-0.16,-1.36%,"233,141","505,501",30.972B,13.28
26,MTCH,"Match Group, Inc.",118.80,+1.36,+1.16%,2.22M,3.416M,30.89B,373.58
27,TWTR,"Twitter, Inc.",37.90,+0.08,+0.21%,10.165M,22.22M,29.977B,N/A
28,CHT,"Chunghwa Telecom Co., Ltd.",36.87,-0.07,-0.19%,"72,202","147,823",28.889B,24.26
29,CHA,China Telecom Corporation Limited,34.94,+1.39,+4.14%,"191,620","107,961",28.271B,9.98
30,SIRI,Sirius XM Holdings Inc.,5.98,-0.03,-0.42%,15.346M,29.565M,25.955B,26.23
31,LBRDA,Liberty Broadband Corporation,139.04,-0.96,-0.69%,"121,865","123,158",25.489B,139.04
32,LBRDK,Liberty Broadband Corporation,140.59,-0.70,-0.50%,"449,812","694,498",25.538B,140.59
33,TME,Tencent Music Entertainment Group,14.40,-0.32,-2.17%,7.3M,11.521M,24.156B,44.44
34,TU,TELUS Corporation,18.28,+0.06,+0.33%,"570,755",1.235M,23.472B,9.73
35,CHU,China Unicom (Hong Kong) Limited,7.60,+0.24,+3.26%,1.433M,"580,661",23.397B,23.75
36,RCI,Rogers Communications Inc.,41.99,+0.04,+0.10%,"295,872","594,923",21.419B,15.00
37,YNDX,Yandex N.V.,60.04,+0.55,+0.93%,2.851M,2.502M,21.02B,13.86
38,PINS,"Pinterest, Inc.",34.68,-0.18,-0.52%,7.228M,15.65M,20.827B,N/A
39,TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,20.08,+0.06,+0.30%,"113,844","316,830",20.207B,15.45
40,TTWO,"Take-Two Interactive Software, Inc.",173.41,+2.13,+1.24%,1.086M,2.128M,19.828B,44.50
41,DISH,DISH Network Corporation,34.67,-0.41,-1.17%,1.664M,3.221M,18.212B,15.51
42,ROKU,"Roku, Inc.",146.85,-3.12,-2.08%,3.855M,9.787M,18.313B,N/A
43,VIACA,ViacomCBS Inc.,30.36,+1.09,+3.72%,"133,893","111,480",17.194B,N/A
44,VIAC,ViacomCBS Inc.,27.46,+0.77,+2.88%,16.534M,11.148M,17.055B,N/A
45,Z,"Zillow Group, Inc.",76.64,+2.20,+2.96%,3.039M,3.813M,17.404B,N/A
46,ZG,"Zillow Group, Inc.",76.67,+2.11,+2.83%,"464,208","687,431",17.383B,N/A
47,ATUS,"Altice USA, Inc.",27.22,+0.08,+0.29%,4.289M,5.989M,15.782B,91.04
48,VIV,Telefônica Brasil S.A.,9.17,-0.01,-0.11%,"886,266",1.95M,15.773B,6.57
49,FOXA,Fox Corporation,25.74,+0.17,+0.66%,3.036M,4.713M,15.598B,15.89
50,FOX,Fox Corporation,25.82,+0.13,+0.51%,"819,332",1.273M,15.573B,15.94
51,WMG,Warner Music Group Corp.,30.30,+0.66,+2.23%,"491,142",2.293M,15.453B,N/A
52,SKM,"SK Telecom Co.,Ltd",22.14,-0.59,-2.60%,"244,499","474,382",14.553B,4.91
53,LSXMB,The Liberty SiriusXM Group,37.90,0.00,0.00%,45,731,14.099B,33.93
54,BILI,Bilibili Inc.,41.58,-0.17,-0.41%,2.893M,6.323M,14.363B,N/A
55,IQ,"iQIYI, Inc.",19.26,-2.42,-11.16%,46.86M,9.57M,14.13B,18.17
56,LSXMA,The Liberty SiriusXM Group,36.04,-0.02,-0.06%,"481,589","873,311",13.805B,32.26
57,LSXMK,The Liberty SiriusXM Group,35.95,-0.06,-0.17%,"391,098",1.31M,13.79B,32.18
58,LBTYA,Liberty Global plc,22.20,-0.11,-0.49%,"960,686",1.392M,12.92B,1.21
59,LBTYK,Liberty Global plc,21.54,-0.08,-0.37%,2.126M,2.89M,12.936B,1.17
60,LBTYB,Liberty Global plc,22.41,-0.01,-0.04%,16,"1,450",12.392B,1.22
61,LN,LINE Corporation,50.67,-0.06,-0.12%,"14,229","24,761",12.169B,N/A
62,CTL,"CenturyLink, Inc.",11.07,+0.22,+2.03%,11.972M,12.022M,12.15B,9.86
63,OMC,Omnicom Group Inc.,54.85,+0.53,+0.98%,1.079M,2.636M,11.786B,12.74
64,CABO,"Cable One, Inc.","1,870.17",-15.64,-0.83%,"24,192","46,193",11.259B,45.99
65,LYV,"Live Nation Entertainment, Inc.",51.48,+0.18,+0.35%,"938,870",3.102M,11.184B,N/A
66,DISCK,"Discovery, Inc.",20.76,+0.46,+2.27%,2.353M,2.402M,10.926B,12.12
67,DISCA,"Discovery, Inc.",22.62,+0.65,+2.96%,2.47M,4.601M,11B,13.20
68,IAC,"Match Group, Inc.",123.41,-1.55,-1.24%,1.234M,2.698M,10.506B,N/A
69,DISCB,"Discovery, Inc.",38.23,-0.28,-0.73%,199,"1,238",10.275B,22.32
70,ATHM,Autohome Inc.,87.48,-0.98,-1.11%,"410,879","677,382",10.417B,26.53
71,ZNGA,Zynga Inc.,9.38,+0.13,+1.41%,18.764M,23.038M,9.948B,N/A
72,WPP,WPP plc,40.79,-0.35,-0.85%,"106,736","198,339",10.012B,4.13
73,SJR,Shaw Communications Inc.,18.67,-0.04,-0.21%,"520,593","520,931",9.646B,252.30
74,NWS,News Corporation,15.43,0.00,0.00%,"284,848","465,376",9.028B,N/A
75,NWSA,News Corporation,15.33,+0.04,+0.26%,1.806M,2.26M,9.052B,N/A
76,FWONA,Formula One Group,35.34,+0.09,+0.26%,"211,072","200,195",8.629B,N/A
77,FWONK,Formula One Group,37.52,+0.03,+0.08%,"416,921",1.35M,8.629B,N/A
78,GLIBA,"GCI Liberty, Inc.",81.26,0.00,0.00%,"369,702","642,592",8.601B,11.03
79,MBT,Mobile TeleSystems Public Joint Stock Company,9.52,+0.10,+1.06%,2.06M,3.929M,8.275B,78.68
80,WUBA,58.com Inc.,55.66,-0.18,-0.32%,"976,661",1.956M,8.345B,27.42
81,WB,Weibo Corporation,32.68,-1.45,-4.25%,1.938M,1.9M,7.401B,18.82
82,NYT,The New York Times Company,44.51,-0.31,-0.69%,1.219M,1.459M,7.387B,52.99
83,IPG,"The Interpublic Group of Companies, Inc.",18.86,+0.07,+0.37%,2.385M,4.469M,7.354B,16.20
84,GLIBP,"GCI Liberty, Inc.",28.98,+0.08,+0.28%,"2,630","5,776",7.262B,3.94
85,GRUB,Grubhub Inc.,76.75,-0.89,-1.15%,1.073M,3.299M,7.082B,N/A
86,DLB,"Dolby Laboratories, Inc.",69.70,-0.88,-1.25%,"294,812","404,855",7.011B,28.85
87,TSU,TIM Participações S.A.,13.95,-0.19,-1.34%,"400,662",1M,6.869B,10.18
88,YY,JOYY Inc.,80.58,-2.36,-2.85%,1.077M,1.305M,6.488B,19.95
89,ANGI,ANGI Homeservices Inc.,13.13,-0.09,-0.68%,2.607M,3.587M,6.511B,305.35
90,PHI,PLDT Inc.,28.12,-0.16,-0.57%,"44,761","100,850",6.084B,42.35
91,PSO,Pearson plc,7.94,-0.19,-2.34%,"256,818","499,209",5.998B,7.82
92,HUYA,HUYA Inc.,24.12,-0.60,-2.43%,3.116M,3.417M,5.365B,N/A
93,KT,KT Corporation,10.58,-0.22,-2.04%,"430,004","738,690",5.174B,10.98
94,DOYU,DouYu International Holdings Limited,14.64,+0.14,+0.97%,2.699M,2.47M,4.648B,N/A
95,TKC,Turkcell Iletisim Hizmetleri A.S.,5.20,-0.25,-4.59%,1.705M,"573,620",4.404B,6.98
96,WWE,"World Wrestling Entertainment, Inc.",45.37,-0.46,-1.00%,"288,451","650,665",4.236B,27.20
97,NXST,"Nexstar Media Group, Inc.",91.90,+1.33,+1.47%,"210,579","419,207",4.162B,12.04
98,MOMO,Momo Inc.,19.71,-0.82,-3.99%,3.476M,4.768M,4.114B,9.66
99,DAO,"Youdao, Inc.",35.92,-2.68,-6.94%,"455,120","350,053",4.015B,N/A
100,MSGS,Madison Square Garden Sports Corp.,164.58,-2.62,-1.57%,"267,483","184,726",3.949B,N/A
101,TV,"Grupo Televisa, S.A.B.",6.99,+0.20,+2.95%,"978,516",1.807M,3.942B,12.59
102,IRDM,Iridium Communications Inc.,28.68,+0.06,+0.21%,"468,924","777,396",3.801B,N/A
103,FVRR,Fiverr International Ltd.,107.40,-2.60,-2.36%,"360,745","808,880",3.772B,N/A
104,TEO,Telecom Argentina S.A.,8.01,+0.06,+0.75%,"74,304","169,726",3.45B,N/A
105,SOGO,Sogou Inc.,8.61,-0.08,-0.92%,1.267M,3.105M,3.333B,105.00
106,CCOI,"Cogent Communications Holdings, Inc.",67.90,-1.01,-1.47%,"300,042","350,190",3.211B,81.91
107,CARG,"CarGurus, Inc.",27.97,-0.12,-0.43%,"544,414",1.401M,3.16B,73.61
108,USM,United States Cellular Corporation,36.60,+0.48,+1.33%,"71,738","164,501",3.145B,17.82
109,TIGO,Millicom International Cellular S.A.,29.27,-0.15,-0.51%,"80,628","131,417",2.961B,N/A
110,VG,Vonage Holdings Corp.,11.86,-0.13,-1.08%,1.275M,2.93M,2.912B,N/A
111,SHEN,Shenandoah Telecommunications Company,56.14,+0.02,+0.04%,"101,595","162,307",2.799B,39.82
112,TDS,"Telephone and Data Systems, Inc.",24.33,+0.54,+2.27%,"453,839","669,766",2.781B,17.34
113,TGNA,TEGNA Inc.,12.30,0.00,0.00%,"738,958",1.985M,2.693B,11.39
114,CMPR,Cimpress plc,95.31,-0.89,-0.93%,"89,547","224,696",2.467B,31.77
115,SINA,SINA Corporation,39.60,-0.09,-0.21%,"620,242","830,293",2.356B,N/A
116,CBB-PB,Cincinnati Bell Inc. PFD CV DEP1/20,47.44,+0.14,+0.31%,913,"3,213",2.001B,N/A
117,IDCC,"InterDigital, Inc.",64.19,-0.33,-0.51%,"139,991","223,130",1.977B,51.93
118,JW-B,"John Wiley & Sons, Inc.",34.66,-0.07,-0.19%,314,450,1.929B,N/A
119,JW-A,"John Wiley & Sons, Inc.",34.58,0.00,0.00%,"249,746","318,914",1.933B,N/A
120,LILA,Liberty Latin America Ltd.,9.76,+0.06,+0.62%,"124,880","252,873",1.778B,N/A
121,LILAK,Liberty Latin America Ltd.,9.64,+0.11,+1.15%,"417,706",1.189M,1.756B,N/A
122,SSTK,"Shutterstock, Inc.",48.03,-0.04,-0.08%,"366,620","305,909",1.715B,52.32
123,LGF-A,Lions Gate Entertainment Corp.,8.12,+0.20,+2.53%,"773,790",1.167M,1.707B,N/A
124,LGF-B,Lions Gate Entertainment Corp.,7.56,+0.23,+3.14%,"544,568","758,576",1.717B,N/A
125,SBGI,"Sinclair Broadcast Group, Inc.",21.43,+0.41,+1.95%,"619,009",1.62M,1.594B,5.36
126,YELP,Yelp Inc.,22.78,-0.29,-1.26%,"714,338",1.35M,1.666B,N/A
127,MSGE,Madison Square Garden Entertainment Corp.,67.46,-3.90,-5.47%,"179,536","194,249",1.62B,N/A
128,GTN,"Gray Television, Inc.",15.48,+0.04,+0.26%,"416,750","838,344",1.483B,9.28
129,CNK,"Cinemark Holdings, Inc.",12.67,+0.86,+7.28%,6.012M,4.954M,1.491B,N/A
130,GTN-A,"Gray Television, Inc.",13.24,-0.09,-0.68%,406,"1,063",1.47B,7.93
131,AMCX,AMC Networks Inc.,25.20,+0.31,+1.25%,"548,477",1.052M,1.311B,7.28
132,DLX,Deluxe Corporation,30.59,+0.77,+2.58%,"353,305","671,449",1.28B,N/A
133,GLUU,Glu Mobile Inc.,7.67,-0.11,-1.41%,2.838M,4.913M,1.31B,N/A
134,BITA,Bitauto Holdings Limited,15.74,-0.11,-0.69%,"188,812","604,441",1.118B,N/A
135,BATRK,The Liberty Braves Group,20.47,-0.10,-0.49%,"98,796","249,458",1.048B,N/A
136,BATRA,The Liberty Braves Group,20.69,-0.06,-0.29%,"47,467","91,384",1.051B,N/A
137,CANG,Cango Inc.,6.89,+0.14,+2.05%,"16,878","27,436",1.04B,47.18
138,ATNI,"ATN International, Inc.",60.77,+1.64,+2.77%,"45,650","41,007",970.4M,N/A
139,SSP,The E.W. Scripps Company,11.56,-0.07,-0.60%,"183,096","353,414",942.332M,N/A
140,SCHL,Scholastic Corporation,25.25,+0.16,+0.62%,"100,402","159,965",863.08M,N/A
141,MGNI,"Magnite, Inc.",7.54,+0.21,+2.86%,1.59M,2.1M,831.293M,N/A
142,QUOT,Quotient Technology Inc.,8.93,+0.12,+1.36%,"287,400","603,707",807.717M,N/A
143,CRTO,Criteo S.A.,13.32,+0.07,+0.53%,"138,619","525,069",799.544M,10.34
144,SOHU,Sohu.com Limited,19.88,-0.26,-1.29%,"534,978","948,414",780.662M,N/A
145,CBB,Cincinnati Bell Inc.,15.07,+0.02,+0.13%,"217,788","564,777",763.757M,N/A
146,IMAX,IMAX Corporation,12.81,+0.21,+1.67%,"328,819",1.046M,753.963M,N/A
147,QNST,"QuinStreet, Inc.",13.55,+0.07,+0.48%,"293,804","352,401",703.697M,39.84
148,GRPN,"Groupon, Inc.",24.00,-0.01,-0.06%,"917,638",2.421M,689.448M,N/A
149,LORL,Loral Space & Communications Inc.,21.44,+0.15,+0.70%,"56,317","200,365",663.199M,N/A
150,MDP,Meredith Corporation,14.46,-1.58,-9.85%,1.716M,"950,271",656.329M,N/A
151,WIFI,"Boingo Wireless, Inc.",14.22,+0.28,+2.01%,"287,003","448,363",632.336M,N/A
152,MSGN,MSG Networks Inc.,11.04,+0.38,+3.56%,1.037M,"522,406",626.085M,3.78
153,AMC,"AMC Entertainment Holdings, Inc.",5.54,+0.23,+4.33%,11.932M,6.158M,605.627M,N/A
154,IHRT,"iHeartMedia, Inc.",8.98,-0.07,-0.77%,"396,637",1.166M,620.784M,N/A
155,CNSL,"Consolidated Communications Holdings, Inc.",7.94,+0.03,+0.38%,"215,813","488,553",580.078M,24.43
156,WOW,"WideOpenWest, Inc.",6.49,+0.04,+0.62%,"169,780","407,198",564.969M,25.55
157,TRUE,"TrueCar, Inc.",5.12,-0.03,-0.58%,"953,488",1.471M,553.001M,N/A
158,MCS,The Marcus Corporation,13.61,+0.29,+2.18%,"300,546","348,050",422.733M,N/A
159,LTRPB,"Liberty TripAdvisor Holdings, Inc.",47.06,+2.05,+4.55%,"2,412","24,842",345.291M,N/A
160,AVID,"Avid Technology, Inc.",8.33,-0.13,-1.54%,"396,606","552,584",366.129M,25.40
161,OOMA,"Ooma, Inc.",16.40,-0.34,-2.03%,"100,098","276,458",362.44M,N/A
162,SCPL,SciPlay Corporation,13.54,-0.29,-2.10%,"680,695","647,111",308.54M,8.43
163,SPOK,"Spok Holdings, Inc.",10.42,-0.09,-0.86%,"54,424","69,330",198.505M,N/A
164,IDT,IDT Corporation,7.03,0.00,0.00%,"39,841","82,573",186.641M,123.33
165,LEAF,Leaf Group Ltd.,5.95,+0.28,+4.94%,"150,211","262,103",159.827M,N/A
166,PERI,Perion Network Ltd.,6.01,+0.10,+1.69%,"125,486","226,615",156.267M,20.10
167,SFUN,Fang Holdings Limited,11.70,-0.89,-7.07%,"62,270","19,844",104.996M,N/A
168,T-PC,AT&T Inc.,25.15,-0.03,-0.12%,"211,907","285,632",N/A,N/A
169,DMS,"Digital Media Solutions, Inc.",8.60,-0.09,-1.04%,"63,472","110,636",500.098M,N/A
170,T-PA,AT&T Inc.,26.35,+0.04,+0.15%,"38,687","118,482",N/A,N/A
