,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,XOM,Exxon Mobil Corporation,43.20,+0.19,+0.44%,13.208M,22.615M,182.66B,25.73
1,CVX,Chevron Corporation,90.35,+0.53,+0.59%,6.155M,8.889M,168.71B,N/A
2,RDS-A,Royal Dutch Shell plc,31.11,-0.56,-1.77%,3.786M,5.473M,118.335B,N/A
3,RDS-B,Royal Dutch Shell plc,29.59,-0.41,-1.37%,2.339M,4.018M,118.818B,N/A
4,PTR,PetroChina Company Limited,35.02,-0.14,-0.40%,"62,267","156,136",111.306B,7.96
5,TOT,TOTAL SE,39.49,-0.50,-1.25%,1.291M,2.132M,104.059B,N/A
6,BP,BP PLC,22.99,-0.46,-1.96%,10.183M,10.846M,78.051B,N/A
7,SNP,China Petroleum & Chemical Corporation,45.26,+0.58,+1.30%,"119,262","186,195",67.515B,4.97
8,ENB,Enbridge Inc.,32.87,0.00,0.00%,2.143M,3.086M,66.388B,45.28
9,PBR,Petróleo Brasileiro S.A. - Petrobras,8.61,-0.08,-0.92%,13.542M,22.996M,54.807B,N/A
10,PBR-A,Petróleo Brasileiro S.A. - Petrobras,8.36,-0.15,-1.76%,2.375M,7.808M,54.342B,11.39
11,EQNR,Equinor ASA,16.33,-0.21,-1.27%,3.58M,3.754M,53.108B,N/A
12,CEO,CNOOC Limited,115.90,+0.15,+0.13%,"65,199","123,506",51.848B,10.08
13,TRP,TC Energy Corporation,48.88,-0.10,-0.20%,"856,052",1.449M,46.094B,17.58
14,COP,ConocoPhillips,40.82,+0.19,+0.47%,3.276M,7.018M,43.782B,19.48
15,EPD,Enterprise Products Partners L.P.,18.85,+0.04,+0.21%,4.619M,7.696M,41.204B,9.23
16,E,Eni S.p.A.,19.26,-0.05,-0.26%,"134,724","336,401",34.649B,5.19
17,KMI,"Kinder Morgan, Inc.",14.29,+0.02,+0.14%,7.104M,13.04M,32.346B,201.27
18,ETP-PD,"Energy Transfer Partners, L.P. PFD UNIT SER D",19.60,+0.06,+0.31%,"32,227","57,930",21.415B,18.05
19,ETP-PC,"Energy Transfer Operating, L.P.",19.50,+0.13,+0.67%,"21,942","46,499",22.78B,10.79
20,EOG,"EOG Resources, Inc.",47.97,+0.55,+1.16%,3.465M,4.312M,27.93B,78.77
21,SLB,Schlumberger Limited,20.07,+0.20,+1.01%,7.183M,14.065M,27.859B,N/A
22,PSX,Phillips 66,63.66,+1.03,+1.64%,2.576M,3.317M,27.8B,N/A
23,WMB,"The Williams Companies, Inc.",22.13,+0.56,+2.60%,6.315M,9.173M,26.856B,208.77
24,SU,Suncor Energy Inc.,17.00,+0.02,+0.12%,5.683M,5.169M,26.037B,7.50
25,MPC,Marathon Petroleum Corporation,38.35,+1.09,+2.93%,5.37M,8.91M,24.954B,N/A
26,ETP-PE,"Energy Transfer Operating, L.P.",20.74,-0.07,-0.34%,"39,575","73,827",24.229B,29.54
27,CNQ,Canadian Natural Resources Limited,20.38,+0.11,+0.54%,1.288M,4.164M,24.047B,8.83
28,EC,Ecopetrol S.A.,11.53,-0.04,-0.35%,"518,272","963,749",23.704B,5.39
29,VLO,Valero Energy Corporation,54.46,+1.27,+2.39%,3.584M,4.411M,22.206B,20.93
30,MPLX,MPLX LP,19.78,+0.43,+2.22%,2.205M,3.127M,20.575B,N/A
31,PXD,Pioneer Natural Resources Company,110.73,+0.79,+0.72%,1.013M,2.069M,18.19B,43.58
32,ET,Energy Transfer LP,6.62,+0.07,+1.07%,13.951M,25.692M,17.847B,12.68
33,BKR,Baker Hughes Company,17.23,+0.11,+0.64%,3.611M,6.498M,17.812B,N/A
34,HES,Hess Corporation,53.78,+1.05,+1.99%,1.179M,2.321M,16.518B,N/A
35,PBA,Pembina Pipeline Corporation,26.60,-0.04,-0.15%,"597,526",1.01M,14.603B,14.51
36,HAL,Halliburton Company,16.63,-0.02,-0.12%,12.156M,19.245M,14.609B,N/A
