,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,UPS,"United Parcel Service, Inc.",160.74,+1.45,+0.91%,3.364M,4.668M,138.779B,31.96
1,UNP,Union Pacific Corporation,191.92,+2.20,+1.16%,2.44M,3.339M,130.283B,23.82
2,HON,Honeywell International Inc.,160.28,+1.30,+0.82%,2.648M,3.447M,112.482B,19.70
3,LMT,Lockheed Martin Corporation,391.42,+2.18,+0.56%,"619,708",1.455M,109.418B,17.15
4,BA,The Boeing Company,178.08,+3.35,+1.92%,32.316M,46.472M,100.517B,N/A
5,RTX,Raytheon Technologies Corporation,63.64,+0.34,+0.54%,4.972M,10.276M,97.22B,N/A
6,MMM,3M Company,166.10,+0.24,+0.14%,1.523M,3.098M,95.677B,18.85
7,CAT,Caterpillar Inc.,139.96,-0.71,-0.50%,1.978M,3.415M,75.789B,18.69
8,CNI,Canadian National Railway Company,102.48,-0.06,-0.06%,1.051M,"891,428",72.601B,17.45
9,ITW,Illinois Tool Works Inc.,196.13,-1.38,-0.70%,"784,144",1.189M,62.009B,28.80
10,DE,Deere & Company,191.13,+1.63,+0.86%,"872,801",1.52M,59.797B,21.68
11,ADP,"Automatic Data Processing, Inc.",138.96,-0.30,-0.22%,2.215M,2.246M,59.748B,24.38
12,GE,General Electric Company,6.66,+0.06,+0.91%,49.623M,95.036M,58.297B,N/A
13,NOC,Northrop Grumman Corporation,342.06,+3.44,+1.02%,"389,917","964,426",57.026B,24.07
14,CSX,CSX Corporation,74.25,+0.25,+0.34%,2.383M,3.821M,56.805B,19.94
15,ABB,ABB Ltd,26.14,-0.30,-1.13%,"937,858",2.185M,55.704B,36.36
16,FDX,FedEx Corporation,208.60,+4.74,+2.33%,4.58M,3.133M,54.653B,42.57
17,NSC,Norfolk Southern Corporation,206.61,+2.23,+1.09%,"869,457",1.472M,52.708B,25.66
18,GPN,Global Payments Inc.,172.50,-0.90,-0.52%,1.173M,1.98M,51.619B,123.74
19,WM,"Waste Management, Inc.",111.47,+0.13,+0.12%,1.013M,1.957M,47.092B,29.47
20,ROP,"Roper Technologies, Inc.",444.95,-8.23,-1.82%,"464,773","506,030",46.591B,29.14
21,GD,General Dynamics Corporation,156.46,+1.51,+0.97%,"668,402",1.379M,44.893B,13.89
22,EMR,Emerson Electric Co.,69.73,-0.47,-0.67%,1.846M,3.094M,41.67B,21.74
23,ETN,Eaton Corporation plc,100.89,-0.54,-0.53%,1.149M,2.023M,40.366B,27.00
24,CP,Canadian Pacific Railway Limited,293.67,-0.20,-0.07%,"155,793","382,788",39.702B,23.57
25,LHX,"L3Harris Technologies, Inc.",182.58,+1.61,+0.89%,1.155M,1.713M,39.473B,24.84
26,TRI,Thomson Reuters Corporation,75.16,-0.11,-0.15%,"344,813","557,404",37.208B,23.52
27,INFO,IHS Markit Ltd.,82.75,-0.92,-1.10%,"995,780",1.866M,32.836B,41.94
28,CTAS,Cintas Corporation,316.44,-2.54,-0.80%,"378,020","592,639",32.751B,39.03
29,CMI,Cummins Inc.,213.51,+3.28,+1.56%,"876,266",1.234M,31.53B,18.92
30,PCAR,PACCAR Inc,88.95,+0.45,+0.51%,1.366M,1.766M,30.79B,18.77
31,VRSK,"Verisk Analytics, Inc.",189.15,-1.56,-0.82%,"317,875","842,866",30.715B,60.90
32,JCI,Johnson Controls International plc,40.86,+0.21,+0.52%,3.025M,5.536M,30.402B,38.95
33,RSG,"Republic Services, Inc.",90.37,-0.34,-0.37%,"435,208",1.171M,28.782B,27.37
34,TT,Trane Technologies plc,118.88,+0.51,+0.43%,1.285M,1.637M,28.454B,N/A
35,OTIS,Otis Worldwide Corporation,64.07,+0.07,+0.11%,1.548M,3.248M,27.747B,N/A
36,FAST,Fastenal Company,47.99,-0.02,-0.04%,2.045M,4.07M,27.528B,33.03
37,TDG,TransDigm Group Incorporated,498.79,+3.64,+0.74%,"344,405","575,925",27.038B,41.16
38,ROK,"Rockwell Automation, Inc.",232.05,-0.92,-0.39%,"296,922","834,703",26.91B,35.28
39,PH,Parker-Hannifin Corporation,209.62,+1.72,+0.83%,"543,349",1.17M,26.877B,22.56
40,PAYX,"Paychex, Inc.",74.31,-0.17,-0.22%,"817,131",2.108M,26.66B,24.44
41,ZTO,ZTO Express (Cayman) Inc.,33.67,-1.08,-3.11%,2.424M,3.09M,26.394B,37.58
42,WCN,"Waste Connections, Inc.",99.81,-0.17,-0.17%,"445,072","809,233",26.24B,127.47
43,CARR,Carrier Global Corporation,29.52,-0.02,-0.07%,4.749M,7.41M,25.569B,N/A
44,SWK,"Stanley Black & Decker, Inc.",158.78,+0.38,+0.24%,"671,075",1.362M,25.354B,30.31
45,CPRT,"Copart, Inc.",100.01,0.00,0.00%,"720,100",1.581M,23.48B,34.73
46,AME,"AMETEK, Inc.",101.28,+0.32,+0.32%,"990,859",1.286M,23.257B,26.24
47,ODFL,"Old Dominion Freight Line, Inc.",191.56,-0.94,-0.49%,"457,563","772,568",22.476B,38.79
48,LUV,Southwest Airlines Co.,34.90,+0.19,+0.55%,7.234M,20.067M,20.587B,114.43
49,EFX,Equifax Inc.,164.74,-2.00,-1.20%,"310,488","887,823",20.009B,67.16
50,GWW,"W.W. Grainger, Inc.",351.38,-0.69,-0.20%,"142,914","345,709",18.824B,30.74
51,DAL,"Delta Air Lines, Inc.",28.95,+0.25,+0.87%,12.933M,42.798M,18.466B,N/A
52,KSU,Kansas City Southern,183.93,+0.80,+0.44%,"643,783",1.164M,17.354B,31.42
53,TRU,TransUnion,87.71,-1.86,-2.08%,"729,327",1.185M,16.674B,54.14
54,DOV,Dover Corporation,111.52,-0.58,-0.52%,"622,002","866,349",16.056B,24.18
55,MAS,Masco Corporation,57.96,-0.26,-0.45%,"908,141",2.74M,15.158B,12.05
56,RYAAY,Ryanair Holdings plc,77.57,-1.03,-1.31%,"320,523","634,238",15.358B,11.98
57,IR,Ingersoll Rand Inc.,35.40,+0.28,+0.80%,1.497M,3.786M,14.764B,N/A
58,JBHT,"J.B. Hunt Transport Services, Inc.",137.19,+0.48,+0.35%,"637,969","865,784",14.475B,30.01
59,EXPD,"Expeditors International of Washington, Inc.",86.10,+0.12,+0.14%,"676,079",1.197M,14.435B,24.47
60,XYL,Xylem Inc.,79.62,+0.14,+0.18%,"386,625",1.229M,14.328B,57.24
61,IEX,IDEX Corporation,176.70,+1.84,+1.05%,"422,322","433,141",13.343B,35.98
62,WAB,Wabtec Corporation,69.52,+0.52,+0.75%,"529,218",1.31M,13.076B,31.36
63,KSU-P,Kansas City Southern,28.95,+0.38,+1.31%,279,366,13.092B,4.95
64,URI,"United Rentals, Inc.",179.33,+0.96,+0.54%,"652,154",1.218M,12.926B,12.03
65,HEI-A,HEICO Corporation,87.35,+0.94,+1.09%,"97,512","306,498",12.812B,32.96
66,CHRW,"C.H. Robinson Worldwide, Inc.",95.08,-0.04,-0.04%,"910,421",1.755M,12.819B,27.66
67,HEI,HEICO Corporation,106.57,+0.61,+0.58%,"198,213","504,144",12.812B,40.22
68,IEP,Icahn Enterprises L.P.,55.86,-0.17,-0.30%,"83,188","109,233",12.446B,N/A
