,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,BHP,BHP Group,56.99,-0.04,-0.07%,1.118M,2.067M,144.51B,15.35
1,LIN,Linde plc,248.50,-0.74,-0.30%,"955,668",2.034M,130.552B,58.75
2,BBL,BHP Group,47.54,+0.04,+0.08%,1.171M,1.387M,120.486B,12.81
3,RIO,Rio Tinto Group,61.59,-0.21,-0.34%,"846,258",2.209M,76.784B,13.98
4,CTA-PB,E. I. du Pont de Nemours and Company,105.15,+0.15,+0.15%,662,990,91.252B,N/A
5,CTA-PA,E. I. du Pont de Nemours and Company,84.00,-2.24,-2.59%,440,387,72.896B,N/A
6,APD,"Air Products and Chemicals, Inc.",289.82,+1.51,+0.52%,1.002M,1.158M,64.02B,33.88
7,SHW,The Sherwin-Williams Company,666.56,-2.67,-0.40%,"220,128","501,152",60.69B,35.52
8,VALE,Vale S.A.,11.33,+0.05,+0.44%,17.21M,29.206M,58.122B,97.67
9,ECL,Ecolab Inc.,194.71,-1.84,-0.94%,"621,384",4.127M,55.567B,N/A
10,NEM,Newmont Corporation,63.85,-0.26,-0.41%,3.665M,9.328M,51.276B,13.29
11,GOLD,Barrick Gold Corporation,26.99,-0.15,-0.55%,12.635M,17.677M,48.134B,10.82
12,DD,"DuPont de Nemours, Inc.",58.16,+0.14,+0.24%,2.541M,5.275M,42.679B,N/A
13,SCCO,Southern Copper Corporation,45.19,+0.32,+0.71%,"492,326","829,165",34.935B,29.87
14,DOW,Dow Inc.,44.87,+0.44,+0.99%,1.922M,4.818M,33.254B,N/A
15,CRH,CRH plc,39.02,-0.56,-1.41%,"266,849","552,247",30.826B,9.44
16,FNV,Franco-Nevada Corporation,147.42,-0.60,-0.41%,"662,187","871,823",28.086B,132.33
17,PPG,"PPG Industries, Inc.",118.98,+0.17,+0.14%,"851,541",1.68M,28.077B,28.15
18,LYB,LyondellBasell Industries N.V.,69.01,+0.02,+0.03%,"837,942",2.209M,23.038B,11.40
19,WPM,Wheaton Precious Metals Corp.,50.55,-0.27,-0.53%,1.497M,2.757M,22.651B,64.23
20,NTR,Nutrien Ltd.,38.42,-0.18,-0.47%,1.246M,1.593M,21.833B,26.79
21,CTVA,"Corteva, Inc.",27.87,+0.95,+3.53%,5.265M,4.749M,20.863B,N/A
22,FCX,Freeport-McMoRan Inc.,13.78,-0.01,-0.07%,9.079M,22.115M,20.012B,N/A
23,AEM,Agnico Eagle Mines Limited,79.05,+0.01,+0.01%,"704,704",1.571M,19.148B,38.50
24,VMC,Vulcan Materials Company,129.74,+0.10,+0.08%,"299,734",1.206M,17.184B,27.63
25,FMC,FMC Corporation,109.61,-0.51,-0.46%,"433,555","704,734",14.202B,29.99
26,PKX,POSCO,43.73,+0.60,+1.39%,"138,652","194,068",14.042B,5.07
27,NUE,Nucor Corporation,46.24,+0.74,+1.63%,1.333M,2.125M,13.96B,27.67
28,KL,Kirkland Lake Gold Ltd.,49.91,-0.43,-0.85%,1.056M,2.154M,13.753B,17.06
29,MLM,"Martin Marietta Materials, Inc.",219.33,-0.30,-0.14%,"357,553","607,271",13.657B,22.03
30,JHX,James Hardie Industries plc,21.69,-0.48,-2.17%,"20,201","26,925",13.458B,60.25
31,IFF,International Flavors & Fragrances Inc.,123.17,-0.64,-0.52%,"500,757","901,623",13.171B,33.01
32,MT,ArcelorMittal,11.91,-0.19,-1.57%,3.4M,5.29M,12.989B,N/A
33,SUZ,Suzano S.A.,9.29,+0.48,+5.45%,"710,629","266,739",12.686B,N/A
34,CE,Celanese Corporation,101.48,+0.44,+0.44%,"429,962","941,328",12.004B,19.38
35,AVTR,"Avantor, Inc.",20.68,-0.42,-1.99%,1.714M,4.792M,11.923B,89.14
36,AU,AngloGold Ashanti Limited,28.38,-0.02,-0.07%,1.84M,3.46M,11.806B,40.54
37,GFI,Gold Fields Limited,12.25,-0.03,-0.24%,6.101M,8.63M,10.844B,64.47
38,AVTR-PA,"Avantor, Inc.",68.00,-1.16,-1.68%,"93,166","117,650",11.178B,293.10
39,KGC,Kinross Gold Corporation,8.71,-0.10,-1.14%,12.115M,18.3M,11.01B,12.28
40,RPM,RPM International Inc.,84.25,-0.22,-0.26%,"314,890","610,601",10.941B,35.97
41,EMN,Eastman Chemical Company,73.29,-0.08,-0.11%,"356,393",1.145M,9.92B,17.37
42,ALB,Albemarle Corporation,92.39,+0.79,+0.86%,"824,977",1.245M,9.826B,22.43
43,SMG,The Scotts Miracle-Gro Company,163.63,+1.22,+0.75%,"416,842","414,696",9.125B,28.48
44,RGLD,"Royal Gold, Inc.",131.35,-1.57,-1.18%,"328,788","511,915",8.615B,43.35
45,SQM,Sociedad Química y Minera de Chile S.A.,32.31,+0.25,+0.78%,"423,959","802,203",8.504B,35.04
46,SBSW,Sibanye Stillwater Limited,12.50,+1.12,+9.84%,3.04M,2.455M,8.359B,N/A
47,WLK,Westlake Chemical Corporation,60.97,+0.87,+1.45%,"255,943","620,726",7.785B,20.18
48,CF,"CF Industries Holdings, Inc.",35.10,+0.44,+1.27%,2.186M,2.575M,7.507B,20.13
49,PAAS,Pan American Silver Corp.,33.56,-0.63,-1.84%,2.145M,4.007M,7.042B,215.13
50,ACH,Aluminum Corporation of China Limited,6.53,-0.02,-0.31%,"37,102","112,212",7.081B,20.09
51,RS,Reliance Steel & Aluminum Co.,106.32,+0.66,+0.62%,"274,705","394,269",6.779B,15.11
52,MOS,The Mosaic Company,17.83,+0.37,+2.12%,4.22M,4.603M,6.759B,N/A
53,STLD,"Steel Dynamics, Inc.",30.95,+0.39,+1.28%,1.423M,1.882M,6.511B,12.41
54,TECK,Teck Resources Limited,11.33,-0.07,-0.61%,1.227M,3.833M,6.041B,2.54
55,VEDL,Vedanta Limited,6.51,-0.10,-1.51%,"206,919","694,973",6.069B,5.35
56,AXTA,Axalta Coating Systems Ltd.,23.90,-0.10,-0.42%,1.42M,2.381M,5.625B,73.09
