,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,AMT,American Tower Corporation (REIT),250.12,-0.61,-0.24%,"687,293",1.785M,110.946B,58.05
1,PLD,"Prologis, Inc.",102.32,-0.32,-0.31%,2.626M,3.22M,75.591B,40.25
2,CCI,Crown Castle International Corp. (REIT),164.63,+0.27,+0.16%,1.205M,2.198M,69.09B,94.72
3,EQIX,"Equinix, Inc. (REIT)",762.01,-8.11,-1.05%,"361,648","446,671",67.481B,132.20
4,SPG-PJ,"Simon Property Group, Inc.",68.50,+5.83,+9.30%,"3,530","1,914",57.917B,12.03
5,PSA-PH,Public Storage,28.46,0.00,0.00%,"18,099","27,131",45.906B,4.07
6,PSA-PK,Public Storage,27.31,-0.10,-0.36%,"43,922","15,404",45.8B,N/A
7,DLR,"Digital Realty Trust, Inc.",153.32,+1.18,+0.78%,1.197M,1.999M,41.242B,56.37
8,PSA,Public Storage,200.24,+2.94,+1.49%,"626,923","906,769",35.003B,28.61
9,SBAC,SBA Communications Corporation (REIT),303.17,-1.46,-0.48%,"271,170","735,549",33.937B,N/A
10,CSGP,"CoStar Group, Inc.",830.37,-11.32,-1.34%,"175,828","305,690",32.689B,102.49
11,DLR-PJ,"Digital Realty Trust, Inc.",26.83,+0.08,+0.29%,"15,968","14,065",28.77B,9.86
12,DLR-PK,"Digital Realty Trust, Inc.",27.35,0.00,0.00%,"22,716","17,756",28.419B,10.06
13,DLR-PG,"Digital Realty Trust, Inc.",25.51,-0.02,-0.10%,"10,747","13,922",27.367B,9.38
14,DLR-PC,"Digital Realty Trust, Inc.",26.09,+0.04,+0.15%,"114,206","13,983",26.072B,9.59
15,DLR-PI,"Digital Realty Trust, Inc.",25.28,+0.01,+0.04%,"15,290","21,477",25.823B,9.29
16,BXP-PB,"Boston Properties, Inc.",26.00,+0.30,+1.15%,"12,378","8,694",24.59B,3.98
17,WELL,Welltower Inc.,56.75,+0.76,+1.36%,2.05M,3.206M,23.682B,17.97
18,AVB,"AvalonBay Communities, Inc.",153.05,+2.35,+1.56%,"643,303",1.131M,21.541B,27.32
19,ARE,"Alexandria Real Estate Equities, Inc.",170.22,-0.48,-0.28%,"383,693","970,611",21.467B,50.95
20,WY,Weyerhaeuser Company,28.36,-0.14,-0.49%,3.457M,5.711M,21.164B,69.00
21,O,Realty Income Corporation,61.01,-0.42,-0.68%,1.43M,2.76M,21.051B,41.79
22,SPG,"Simon Property Group, Inc.",68.18,+2.16,+3.27%,5.165M,8.159M,20.856B,11.98
23,EQR,Equity Residential,54.39,+0.88,+1.64%,2.055M,2.985M,20.245B,18.05
24,INVH,Invitation Homes Inc.,28.67,-0.51,-1.75%,4.042M,3.928M,16.07B,87.41
25,CBRE,"CBRE Group, Inc.",46.02,-0.01,-0.02%,1.011M,2.124M,15.429B,13.60
26,VTR,"Ventas, Inc.",40.60,+0.71,+1.78%,2.223M,3.724M,15.147B,37.18
27,VNO-PK,Vornado Realty Trust PFD SER K,25.10,-0.04,-0.16%,"31,606","35,201",15.032B,52.29
28,PEAK,"Healthpeak Properties, Inc.",27.01,-0.42,-1.53%,4.692M,4.564M,14.54B,N/A
29,SUI,"Sun Communities, Inc.",146.49,+0.92,+0.63%,"293,690","572,077",14.396B,105.92
30,BPYPP,Brookfield Property Partners L.P.,21.58,+0.53,+2.54%,"7,818","22,166",14.257B,N/A
31,ESS,"Essex Property Trust, Inc.",219.15,+3.12,+1.44%,"489,995","459,249",14.087B,23.03
32,DRE,Duke Realty Corporation,37.89,-0.89,-2.29%,2.703M,2.492M,14.041B,37.51
33,MAA-PI,"Mid-America Apartment Communities, Inc.",63.93,0.00,0.00%,0,534,13.988B,21.74
