,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,AAPL,Apple Inc.,459.63,-0.41,-0.09%,41.391M,36.775M,1.965T,34.86
1,MSFT,Microsoft Corporation,208.90,+0.20,+0.10%,17.959M,34.755M,1.581T,36.27
2,TSM,Taiwan Semiconductor Manufacturing Company Limited,78.41,+0.11,+0.14%,5.54M,11.043M,379.575B,35.16
3,NVDA,NVIDIA Corporation,462.56,+4.84,+1.06%,9.161M,11.377M,284.474B,86.48
4,ADBE,Adobe Inc.,447.60,-2.42,-0.54%,1.111M,2.776M,214.698B,59.06
5,INTC,Intel Corporation,48.89,+0.33,+0.68%,22.321M,29.843M,207.929B,8.98
6,SAP,SAP SE,160.09,-0.76,-0.47%,"268,638","732,401",192.119B,38.68
7,CSCO,"Cisco Systems, Inc.",42.50,-0.22,-0.51%,32.539M,22.672M,179.448B,16.10
8,CRM,"salesforce.com, inc.",193.46,-1.68,-0.86%,2.747M,5.741M,174.307B,N/A
9,ORCL,Oracle Corporation,54.20,+0.18,+0.33%,5.282M,12.366M,166.322B,17.60
10,ASML,ASML Holding N.V.,371.10,-3.66,-0.98%,"543,901","783,169",155.77B,53.33
11,ACN,Accenture plc,230.25,-1.48,-0.64%,1.079M,1.981M,146.692B,30.13
12,AVGO,Broadcom Inc.,327.82,-1.60,-0.49%,1.014M,2.209M,131.844B,58.85
13,QCOM,QUALCOMM Incorporated,113.74,+0.33,+0.29%,6.641M,9.967M,128.329B,48.30
14,TXN,Texas Instruments Incorporated,137.35,+0.20,+0.15%,2.063M,4.85M,125.805B,25.78
15,SHOP,Shopify Inc.,987.90,-12.00,-1.20%,1.438M,2.86M,118.532B,N/A
16,IBM,International Business Machines Corporation,125.27,+0.24,+0.19%,2.658M,4.985M,111.563B,14.22
17,SNE,Sony Corporation,82.93,+0.26,+0.31%,1.192M,1.247M,99.774B,17.43
18,AMD,"Advanced Micro Devices, Inc.",81.30,-0.54,-0.66%,42.389M,63.24M,95.451B,158.17
19,FIS,"Fidelity National Information Services, Inc.",143.88,-1.32,-0.91%,1.595M,3.52M,89.148B,"2,766.92"
20,NOW,"ServiceNow, Inc.",435.73,-2.69,-0.61%,"968,020",1.712M,83.573B,122.88
21,INTU,Intuit Inc.,305.54,-1.17,-0.38%,"596,048",1.217M,79.676B,60.26
22,FISV,"Fiserv, Inc.",99.77,+0.29,+0.29%,2.182M,4.629M,66.811B,79.37
23,SQ,"Square, Inc.",141.96,-1.23,-0.86%,6.468M,13.361M,62.964B,220.09
24,AMAT,"Applied Materials, Inc.",67.62,+2.55,+3.92%,23.422M,7.228M,61.972B,19.66
25,VMW,"VMware, Inc.",135.85,-1.33,-0.97%,1.198M,1.465M,56.928B,8.97
26,LRCX,Lam Research Corporation,373.64,-3.38,-0.90%,1.345M,1.785M,54.301B,24.74
27,INFY,Infosys Limited,12.72,-0.06,-0.47%,7.036M,11.014M,53.702B,23.13
28,UBER,"Uber Technologies, Inc.",29.99,-0.47,-1.54%,17.242M,23.235M,52.561B,N/A
29,ADSK,"Autodesk, Inc.",234.35,-3.84,-1.61%,"786,242",1.47M,51.369B,171.81
30,MU,"Micron Technology, Inc.",45.60,-0.54,-1.17%,18.167M,21.554M,50.662B,22.90
31,DELL,Dell Technologies Inc.,59.91,+0.35,+0.59%,1.071M,3.114M,44.382B,10.27
32,ADI,"Analog Devices, Inc.",117.18,-0.93,-0.79%,2.08M,3.019M,43.234B,39.18
33,WDAY,"Workday, Inc.",181.58,-2.18,-1.19%,"563,271",1.92M,42.671B,N/A
34,TEAM,Atlassian Corporation Plc,162.69,-1.67,-1.02%,1.029M,1.947M,39.929B,N/A
35,ERIC,Telefonaktiebolaget LM Ericsson (publ),11.56,-0.32,-2.69%,10.564M,10.692M,38.276B,N/A
36,DOCU,"DocuSign, Inc.",199.71,+0.33,+0.17%,1.953M,5.263M,36.649B,N/A
37,CTSH,Cognizant Technology Solutions Corporation,66.93,+0.03,+0.04%,1.289M,3.136M,36.292B,22.60
38,NXPI,NXP Semiconductors N.V.,123.04,+0.30,+0.24%,"739,346",4.213M,34.356B,N/A
39,KLAC,KLA Corporation,211.51,+2.45,+1.17%,1.209M,1.25M,32.882B,27.47
40,APH,Amphenol Corporation,109.78,-0.79,-0.71%,"769,918",1.516M,32.756B,30.57
41,TEL,TE Connectivity Ltd.,94.76,-1.13,-1.18%,"926,459",1.87M,31.274B,N/A
42,SPLK,Splunk Inc.,192.34,-1.03,-0.53%,1.352M,1.867M,30.557B,N/A
43,CDNS,"Cadence Design Systems, Inc.",108.00,-0.66,-0.61%,"737,189",1.852M,30.11B,29.70
44,SNPS,"Synopsys, Inc.",196.16,-0.19,-0.10%,"459,111","886,653",29.579B,63.87
45,ANSS,"ANSYS, Inc.",313.19,-1.58,-0.50%,"250,929","450,980",26.868B,68.22
46,STM,STMicroelectronics N.V.,29.12,-0.54,-1.82%,1.162M,2.444M,26.083B,78.49
47,HPQ,HP Inc.,18.18,-0.20,-1.09%,11.373M,14.573M,25.997B,8.90
48,XLNX,"Xilinx, Inc.",105.31,-0.19,-0.18%,"995,295",2.784M,25.729B,41.20
49,MCHP,Microchip Technology Incorporated,100.20,-0.38,-0.38%,1.211M,3.013M,25.296B,40.00
50,RNG,"RingCentral, Inc.",284.42,-2.55,-0.89%,"344,311",1.146M,25.301B,N/A
51,PANW,"Palo Alto Networks, Inc.",259.11,-2.45,-0.94%,"440,340",1.262M,24.995B,N/A
52,FTV,Fortive Corporation,73.58,-0.19,-0.26%,"933,065",2.421M,24.802B,49.75
53,OKTA,"Okta, Inc.",198.86,-3.97,-1.96%,1.139M,1.972M,24.78B,N/A
54,MSI,"Motorola Solutions, Inc.",145.37,-0.59,-0.40%,"612,226",1.564M,24.682B,30.21
55,GLW,Corning Incorporated,32.32,-0.20,-0.62%,2.571M,5.918M,24.621B,237.65
56,FTV-PA,Fortive Corporation,929.35,0.00,0.00%,336,"3,449",24.597B,628.36
57,SWKS,"Skyworks Solutions, Inc.",146.12,-1.94,-1.31%,"998,191",1.929M,24.407B,32.11
58,DDOG,"Datadog, Inc.",81.24,-1.18,-1.43%,2.985M,4.797M,24.643B,N/A
