,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,NEE,"NextEra Energy, Inc.",280.50,-3.90,-1.37%,1.158M,2.014M,137.346B,38.74
1,DUK-PA,Duke Energy Corporation,28.06,-0.07,-0.25%,"42,409","80,209",69.176B,10.03
2,D,"Dominion Energy, Inc.",78.85,-0.46,-0.58%,1.932M,4.463M,66.245B,139.80
3,DCUE,"Dominion Energy, Inc.",102.10,-0.50,-0.49%,"153,895","89,939",61.522B,59.02
4,DUK,Duke Energy Corporation,82.15,-0.59,-0.71%,1.953M,3.656M,60.416B,29.36
5,SO,The Southern Company,53.56,-0.81,-1.49%,3.07M,4.427M,56.566B,17.53
6,AEP,"American Electric Power Company, Inc.",82.95,-0.71,-0.85%,2.682M,3.138M,41.156B,21.65
7,NGG,National Grid plc,58.35,-0.67,-1.14%,"250,237","517,490",40.977B,9.06
8,SRE,Sempra Energy,131.89,-2.77,-2.06%,1.193M,1.813M,38.151B,9.08
9,XEL,Xcel Energy Inc.,70.73,-0.55,-0.77%,3.421M,2.72M,37.157B,26.54
10,EXC,Exelon Corporation,37.93,-0.01,-0.03%,3.314M,5.972M,36.963B,14.00
11,SRE-PB,Sempra Energy,107.35,-2.12,-1.94%,"94,363","30,391",36.088B,7.39
12,SRE-PA,Sempra Energy,106.89,-1.74,-1.60%,"304,767","72,344",35.905B,7.35
13,ES,Eversource Energy,87.15,-0.77,-0.88%,"577,905",1.582M,30.127B,25.02
14,WEC,"WEC Energy Group, Inc.",91.21,-0.23,-0.25%,"682,120",1.448M,28.771B,24.65
15,PEG,Public Service Enterprise Group Incorporated,55.17,-0.29,-0.52%,"965,475",2.506M,27.903B,16.13
16,AWK,"American Water Works Company, Inc.",145.31,-1.20,-0.82%,"350,796","827,063",26.331B,41.28
17,ED,"Consolidated Edison, Inc.",73.53,-0.24,-0.33%,1.593M,1.924M,24.596B,18.41
18,DTE,DTE Energy Company,117.71,-0.45,-0.38%,"445,030",1.202M,22.677B,18.59
19,PPL,PPL Corporation,29.05,-0.07,-0.24%,3.966M,5.616M,22.333B,12.62
20,ETR,Entergy Corporation,100.93,-0.80,-0.79%,"707,044",1.19M,20.207B,16.47
21,AEE,Ameren Corporation,81.27,-0.10,-0.12%,"616,619",1.588M,20.08B,23.77
22,EIX,Edison International,52.69,-0.92,-1.72%,2.281M,2.874M,19.928B,17.07
